epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7696547508239746,0.8484882712364197,0.001,0.9474637508392334,0.17604699730873108
1,0.9332864284515381,0.22466887533664703,0.001,0.9566666483879089,0.14292334020137787
2,0.9516240358352661,0.16090624034404755,0.001,0.9628260731697083,0.12831854820251465
3,0.962710976600647,0.1263521909713745,0.001,0.969565212726593,0.11560488492250443
4,0.9674296379089355,0.1090087890625,0.001,0.9723188281059265,0.1056312769651413
5,0.9728900194168091,0.09167927503585815,0.001,0.9725362062454224,0.10524700582027435
6,0.9757672548294067,0.08441482484340668,0.001,0.9743478298187256,0.10805685073137283
7,0.9778516888618469,0.07578263431787491,0.001,0.9767391085624695,0.0925903171300888
8,0.9808695912361145,0.06656550616025925,0.001,0.9777536392211914,0.1000431552529335
9,0.9825063943862915,0.062412895262241364,0.001,0.9713043570518494,0.11536061763763428
10,0.9835677742958069,0.05720106139779091,0.001,0.9785507321357727,0.10243559628725052
11,0.9837084412574768,0.05767666921019554,0.001,0.9768115878105164,0.11077068746089935
12,0.9855498671531677,0.05139314755797386,0.001,0.9778260588645935,0.09645558148622513
13,0.9867135286331177,0.04747821018099785,0.001,0.9781883955001831,0.11254917830228806
14,0.9867647290229797,0.05159576237201691,0.001,0.9770289659500122,0.11726035177707672
15,0.9937212467193604,0.021606754511594772,0.000100000005,0.9838405847549438,0.08818404376506805
16,0.9961509108543396,0.011699026450514793,0.000100000005,0.9850724935531616,0.08458222448825836
17,0.9973401427268982,0.009157863445580006,0.000100000005,0.9854347705841064,0.09005841612815857
18,0.9976087212562561,0.008153114467859268,0.000100000005,0.9852173924446106,0.08728716522455215
19,0.9982864260673523,0.0058694579638540745,0.000100000005,0.9860144853591919,0.08788471668958664
20,0.9982097148895264,0.005911953281611204,0.000100000005,0.985942006111145,0.09110129624605179
21,0.9986445307731628,0.0044067963026463985,0.000100000005,0.9864493012428284,0.09159038215875626
22,0.9986828565597534,0.004710585344582796,0.000100000005,0.9868840575218201,0.09249193966388702
23,0.9987468123435974,0.004317800980061293,0.000100000005,0.9868115782737732,0.09337593615055084
24,0.9987595677375793,0.004018227569758892,1.0000001e-05,0.9868840575218201,0.09208687394857407
25,0.9988107681274414,0.003770336275920272,1.0000001e-05,0.9873188138008118,0.09052197635173798
