epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5064449906349182,1.743298053741455,0.001,0.6677536368370056,1.1512959003448486
1,0.7027876973152161,0.984244704246521,0.001,0.7403623461723328,0.8657560348510742
2,0.7596035599708557,0.7828805446624756,0.001,0.7732608914375305,0.7329121828079224
3,0.7927749156951904,0.6713758707046509,0.001,0.7950724363327026,0.6706501841545105
4,0.8143222332000732,0.5954641699790955,0.001,0.8107246160507202,0.6112790107727051
5,0.8300383687019348,0.5395885705947876,0.001,0.8178985714912415,0.5856809616088867
6,0.8420844078063965,0.5007341504096985,0.001,0.8314492702484131,0.5535420179367065
7,0.8524041175842285,0.4697912633419037,0.001,0.8421739339828491,0.5223749279975891
8,0.8628261089324951,0.4343450665473938,0.001,0.8418840765953064,0.5155090093612671
9,0.8673912882804871,0.41536322236061096,0.001,0.8414492607116699,0.5152565836906433
10,0.8730306625366211,0.39912739396095276,0.001,0.844420313835144,0.5039050579071045
11,0.8797826170921326,0.37282758951187134,0.001,0.8486956357955933,0.4805248975753784
12,0.8854475617408752,0.35610100626945496,0.001,0.854492723941803,0.4740356206893921
13,0.8896419405937195,0.33996912837028503,0.001,0.8568115830421448,0.4643408954143524
14,0.8971611261367798,0.3189032971858978,0.001,0.8560869693756104,0.4652194082736969
15,0.9004603624343872,0.3125644028186798,0.001,0.8622463941574097,0.45072421431541443
16,0.9062276482582092,0.29294198751449585,0.001,0.8622463941574097,0.45436760783195496
17,0.9082353115081787,0.283692866563797,0.001,0.8589854836463928,0.45260584354400635
18,0.9119565486907959,0.27372026443481445,0.001,0.8636232018470764,0.4481559097766876
19,0.9147953987121582,0.2600450813770294,0.001,0.8689130544662476,0.4360959529876709
20,0.9189258217811584,0.25224629044532776,0.001,0.8687680959701538,0.4312354624271393
21,0.9217647314071655,0.24003416299819946,0.001,0.8724637627601624,0.43020012974739075
22,0.9224296808242798,0.23642036318778992,0.001,0.8689855337142944,0.4302794635295868
23,0.9257672429084778,0.22852548956871033,0.001,0.8665941953659058,0.43138229846954346
24,0.928324818611145,0.21781152486801147,0.001,0.8681883811950684,0.4342416524887085
25,0.9302685260772705,0.21309830248355865,0.001,0.8739855289459229,0.42704182863235474
26,0.9343606233596802,0.19962169229984283,0.001,0.8678985238075256,0.43804728984832764
27,0.9362404346466064,0.1964232474565506,0.001,0.8686231970787048,0.4303624629974365
28,0.9391815662384033,0.18590876460075378,0.001,0.8710144758224487,0.4400829076766968
29,0.9406905174255371,0.18134848773479462,0.001,0.8721014261245728,0.4352502226829529
30,0.9424424767494202,0.17719292640686035,0.001,0.8741304278373718,0.43611496686935425
31,0.9451279044151306,0.1676260381937027,0.001,0.8707970976829529,0.44527962803840637
32,0.9448977112770081,0.1680358350276947,0.001,0.870579719543457,0.4389246106147766
33,0.9620844125747681,0.12497022747993469,0.000100000005,0.8778260946273804,0.41401568055152893
34,0.9715601205825806,0.10465285927057266,0.000100000005,0.8789855241775513,0.4130750894546509
35,0.9762020707130432,0.09347054362297058,0.000100000005,0.879420280456543,0.40985602140426636
36,0.9800000190734863,0.08617691695690155,0.000100000005,0.880507230758667,0.40982747077941895
37,0.9825575351715088,0.08067043870687485,0.000100000005,0.880507230758667,0.4113198518753052
38,0.9842711091041565,0.0760171115398407,0.000100000005,0.8807970881462097,0.4107823371887207
39,0.9858056306838989,0.07209800183773041,0.000100000005,0.8797826170921326,0.41115644574165344
40,0.9875703454017639,0.0684298574924469,0.000100000005,0.8797101378440857,0.41198989748954773
41,0.9887723922729492,0.06537750363349915,0.000100000005,0.8802898526191711,0.4125024974346161
42,0.9902046322822571,0.06280557066202164,0.000100000005,0.8811594247817993,0.4131443202495575
43,0.9920843839645386,0.0574466772377491,1.0000001e-05,0.8812319040298462,0.4127305746078491
44,0.992455244064331,0.056385140866041183,1.0000001e-05,0.8813768029212952,0.412792444229126
45,0.9927237629890442,0.055733438581228256,1.0000001e-05,0.8812319040298462,0.41291457414627075
