epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7939513921737671,0.7655381560325623,0.001,0.9507970809936523,0.16588230431079865
1,0.93919438123703,0.2064717561006546,0.001,0.9610145092010498,0.12735851109027863
2,0.9573913216590881,0.14081700146198273,0.001,0.9658695459365845,0.12895295023918152
3,0.9668158292770386,0.11161330342292786,0.001,0.9703623056411743,0.1117246225476265
4,0.9734910726547241,0.0911836102604866,0.001,0.9709420204162598,0.11530143767595291
5,0.9752941131591797,0.08459208905696869,0.001,0.9763043522834778,0.09318935871124268
6,0.9797825813293457,0.0705963745713234,0.001,0.9731159210205078,0.10311737656593323
7,0.980575442314148,0.06517312675714493,0.001,0.9778985381126404,0.10281413048505783
8,0.983222484588623,0.06006043404340744,0.001,0.9771014451980591,0.10185255855321884
9,0.9835422039031982,0.05682762712240219,0.001,0.9797101616859436,0.08929803222417831
10,0.9855754375457764,0.05300483480095863,0.001,0.9767391085624695,0.10683745890855789
11,0.9855114817619324,0.05548758804798126,0.001,0.9810144901275635,0.0885528177022934
12,0.9868670105934143,0.04760976880788803,0.001,0.9730435013771057,0.1222553625702858
13,0.9875703454017639,0.0465216338634491,0.001,0.9812318682670593,0.09070194512605667
14,0.9883503913879395,0.04392671957612038,0.001,0.9777536392211914,0.10156892240047455
15,0.9888491034507751,0.0419178307056427,0.001,0.9800724387168884,0.10437361896038055
16,0.9893094897270203,0.0403398722410202,0.001,0.9812318682670593,0.09968643635511398
17,0.9891560077667236,0.03975953534245491,0.001,0.979202926158905,0.0994243323802948
18,0.9899616241455078,0.038845110684633255,0.001,0.9805072546005249,0.10057134926319122
19,0.9953580498695374,0.015876013785600662,0.000100000005,0.9838405847549438,0.08912740647792816
20,0.9972890019416809,0.009566785767674446,0.000100000005,0.984710156917572,0.08653557300567627
21,0.9979411959648132,0.006895891856402159,0.000100000005,0.9853622913360596,0.0880797728896141
22,0.9980434775352478,0.006821790710091591,0.000100000005,0.9856521487236023,0.08752921968698502
23,0.9983248114585876,0.005584597121924162,0.000100000005,0.9861594438552856,0.08819878101348877
24,0.9984526634216309,0.004827875178307295,0.000100000005,0.9853622913360596,0.09716121107339859
25,0.998913049697876,0.003701471257954836,0.000100000005,0.9860144853591919,0.09617803245782852
26,0.9988619089126587,0.00377460103482008,0.000100000005,0.9868115782737732,0.09683634340763092
27,0.9990153312683105,0.003606276586651802,0.000100000005,0.9860869646072388,0.09888763725757599
28,0.9990920424461365,0.0030138157308101654,1.0000001e-05,0.9864493012428284,0.0973382443189621
29,0.9992071390151978,0.0032585342414677143,1.0000001e-05,0.9866666793823242,0.09688583016395569
0,0.7818414568901062,0.812281608581543,0.001,0.9365941882133484,0.22021427750587463
1,0.9398209452629089,0.20529605448246002,0.001,0.9642753601074219,0.12368126958608627
2,0.9573273658752441,0.14327606558799744,0.001,0.9662318825721741,0.11858899146318436
3,0.9662915468215942,0.1149313896894455,0.001,0.971666693687439,0.11253993213176727
4,0.9721611142158508,0.09398384392261505,0.001,0.979492723941803,0.08121407777070999
5,0.9762403964996338,0.08084610849618912,0.001,0.9756521582603455,0.09813372790813446
6,0.9786828756332397,0.07309112697839737,0.001,0.9764492511749268,0.09971963614225388
7,0.9817391037940979,0.063642717897892,0.001,0.97826087474823,0.0978807657957077
8,0.9830818176269531,0.05905013158917427,0.001,0.979202926158905,0.10346272587776184
9,0.9838874936103821,0.05682213231921196,0.001,0.9794203042984009,0.09462706744670868
10,0.985601007938385,0.049870677292346954,0.001,0.979347825050354,0.1001957356929779
11,0.9866368174552917,0.04902735725045204,0.001,0.9816666841506958,0.08753198385238647
12,0.994232714176178,0.019589107483625412,0.000100000005,0.9838405847549438,0.07341548055410385
13,0.9963171482086182,0.011853483505547047,0.000100000005,0.9851449131965637,0.07352296262979507
14,0.9973018169403076,0.008837002329528332,0.000100000005,0.9858695864677429,0.07592923939228058
15,0.9980946183204651,0.006649594288319349,0.000100000005,0.9855797290802002,0.07766826450824738
16,0.9982608556747437,0.005976359825581312,0.000100000005,0.9860144853591919,0.07864899188280106
17,0.9980562925338745,0.0058282543905079365,0.000100000005,0.9868840575218201,0.0761222243309021
18,0.9986701011657715,0.0037914130371063948,0.000100000005,0.9862318634986877,0.0820116251707077
19,0.9984782338142395,0.005104697309434414,0.000100000005,0.9868840575218201,0.07994411140680313
20,0.9989514350891113,0.003679752117022872,1.0000001e-05,0.9865217208862305,0.0807330533862114
21,0.99897700548172,0.0034733018837869167,1.0000001e-05,0.9864493012428284,0.0809483528137207
